start_date,end_date,lot_id_txt,price_realised,estimate_low,estimate_high,estimate_txt,auction_title,auction_location,artist,item_title,url,description_txt
2023-07-03T23:00Z,2023-07-04T00:00Z,1,2772.0,2000.0,3000.0,GBP,Old Master and British Drawings and Watercolours  ,London,ITALIAN SCHOOL,"Two studies after a sculpture of a nude woman, seen from behind",https://www.christies.com/lot/lot-6437330?ldp_breadcrumb=back&intObjectID=6437330&from=salessummary&lid=1,"ITALIAN SCHOOL 16TH CENTURY<br>,<i>Two studies after a sculpture of a nude woman seen from behind</i><br>,black chalk on brown paper<br>,16.7 x 12.3 cm (6 1/2 x 4 7/8 in.)<br>,"
2023-07-03T23:00Z,2023-07-04T00:00Z,2,88200.0,7000.0,10000.0,GBP,Old Master and British Drawings and Watercolours  ,London,WORKSHOP OF RAFFAELLO SANZIO,The Descent from the Cross,https://www.christies.com/lot/lot-6437331?ldp_breadcrumb=back&intObjectID=6437331&from=salessummary&lid=1,"WORKSHOP OF RAFFAELLO SANZIO CALLED RAPHAEL (Urbino 1483-1520 Rome)<br>,<i>The Descent from the Cross</i><br>,with inscription &#8216;RAFFAELLO&#8217; (lower centre on the mount)<br>,black and red chalk pen and brown ink brown wash heightened with white watermark circle<br>,36.5 x 28 cm (14 3/8 x 11 in.)<br>,"
2023-07-03T23:00Z,2023-07-04T00:00Z,3,,15000.0,20000.0,GBP,Old Master and British Drawings and Watercolours  ,London,GIULIO PIPPI,"Saint Blaise, enthroned and crowned by an angel, with two boy attendants",https://www.christies.com/lot/lot-6437332?ldp_breadcrumb=back&intObjectID=6437332&from=salessummary&lid=1,"GIULIO PIPPI CALLED GIULIO ROMANO (ROME 1499-1546 MANTUA)<br>,<i>Saint Blaise enthroned and crowned by an angel with two boy attendants</i><br>,with inscription 'Jule Romain' (lower centre)<br>,pen and brown ink brown wash<br>,22.5 x 14 cm (8 9&#x2044;10 x 5 1/2 in.)<br>,"
2023-07-03T23:00Z,2023-07-04T00:00Z,4,21420.0,15000.0,25000.0,GBP,Old Master and British Drawings and Watercolours  ,London,PIERO BUONACCORSI,A river god holding a cornucopia,https://www.christies.com/lot/lot-6437333?ldp_breadcrumb=back&intObjectID=6437333&from=salessummary&lid=1,"PIERO BUONACCORSI CALLED PERINO DEL VAGA (FLORENCE 1501-1547 ROME)<br>,<i>A river god holding a cornucopia</i><br>,with inscription &#8216;Parmigiano&#8217; (lower left and upper edge <i>verso</i>)<br>,pen and brown ink brown wash heightened with (partly oxidised) white pen and brown ink framing lines<br>,12.3 x 17.7 cm (4 7/8 x 6 7/8 in.)<br>,"
2023-07-03T23:00Z,2023-07-04T00:00Z,5,27720.0,20000.0,30000.0,GBP,Old Master and British Drawings and Watercolours  ,London,LELIO ORSI (NOVELLARA 1511-1587),The Rape of Ganymede,https://www.christies.com/lot/lot-6437334?ldp_breadcrumb=back&intObjectID=6437334&from=salessummary&lid=1,"LELIO ORSI (NOVELLARA 1511-1587)<br>,<i>The Rape of Ganymede</i><br>,with inscription &#8216;Lelio da Novellara&#8217;<br>,black chalk pen and brown ink brown and blue wash heightened with white (partly oxidised) on light brown paper pen and brown ink framing lines<br>,24.5 x 23 cm (9 3/4 x 9 1/8 in.)<br>,"
2023-07-03T23:00Z,2023-07-04T00:00Z,6,,20000.0,30000.0,GBP,Old Master and British Drawings and Watercolours  ,London,VENETIAN SCHOOL,"The Crucifixion of Christ with the Virgin Mary, Mary Magdalene and Saint John of Patmos at the foot, surrounded by a floral border with the Four Evangelists of the Cross in roundels",https://www.christies.com/lot/lot-6437335?ldp_breadcrumb=back&intObjectID=6437335&from=salessummary&lid=1,"VENETIAN SCHOOL FIRST HALF OF 16TH CENTURY<br>,<i>The Crucifixion of Christ with the Virgin Mary Mary Magdalene and Saint John of Patmos at the foot surrounded by a floral border with the Four Evangelists of the Cross in roundels</i><br>,illuminated manuscript on vellum heightened with gold<br>,28 x 19.5 cm (11 x 7 3/4 in)<br>,"
2023-07-03T23:00Z,2023-07-04T00:00Z,7,9450.0,5000.0,7000.0,GBP,Old Master and British Drawings and Watercolours  ,London,ATTRIBUTED TO AURELIO LUINI (MILAN 1530-1593),"Sheet of various sketches of heads, arms, legs and bones",https://www.christies.com/lot/lot-6437336?ldp_breadcrumb=back&intObjectID=6437336&from=salessummary&lid=1,"ATTRIBUTED TO AURELIO LUINI (MILAN 1530-1593)<br>,<i>Sheet of various sketches of heads arms legs and bones</i><br>,with extensive inscriptions of calculation and accounting details (<i>verso</i>)<br>,pen and brown ink<br>,27.5 x 18.4 cm (10 7/8 x 7 1/4 in.)<br>,"
2023-07-03T23:00Z,2023-07-04T00:00Z,8,1008.0,2000.0,3000.0,GBP,Old Master and British Drawings and Watercolours  ,London,NORTHERN ITALIAN SCHOOL,"A bishop seated at a table, reading",https://www.christies.com/lot/lot-6437337?ldp_breadcrumb=back&intObjectID=6437337&from=salessummary&lid=1,"NORTHERN ITALIAN SCHOOL16TH CENTURY<br>,<i>A bishop seated at a table reading</i><br>,black chalk pen and brown ink brown wash<br>,28.2 x 15.8 cm (11 1/8 x 6 1/4 in.)<br>,"
2023-07-03T23:00Z,2023-07-04T00:00Z,9,3528.0,3000.0,5000.0,GBP,Old Master and British Drawings and Watercolours  ,London,NORTHERN ITALIAN SCHOOL,The Adoration of the Shepherds,https://www.christies.com/lot/lot-6437338?ldp_breadcrumb=back&intObjectID=6437338&from=salessummary&lid=1,"NORTHERN ITALIAN SCHOOL 16TH CENTURY<br>,<i>The Adoration of the Shepherds</i><br>,black chalk oval-shaped<br>,11 x 8.7 cm (7 3/8 x 4 3/8 in.)<br>,"
2023-07-03T23:00Z,2023-07-04T00:00Z,10,9450.0,5000.0,8000.0,GBP,Old Master and British Drawings and Watercolours  ,London,ORLANDO FLACCO (VERONA 1527-1593),The Crucifixion of Christ,https://www.christies.com/lot/lot-6437339?ldp_breadcrumb=back&intObjectID=6437339&from=salessummary&lid=1,"ORLANDO FLACCO (VERONA 1527-1593)<br>,<i>The Crucifixion of Christ </i><br>,oil on paper laid down on canvas<br>,39.8 x 27.3 cm (15 5/8 x 10 3/4 in.)<br>,"
