auction_id,auction_url,start_date,end_date,lot_id_txt,price_realised,estimate_low,estimate_high,currency,auction_title,auction_location,artist,item_title,url,description_txt
30201,https://www.christies.com/en/auction/a-century-of-art-the-gerald-fineberg-collection-part-ii-30201/,2023-05-17T04:00Z,2023-05-17T00:00Z,1 C,630000.0,300000.0,500000.0,USD,A Century of Art: The Gerald Fineberg Collection Part II,New York,SIMONE LEIGH,109 (Face Jug Series),https://www.christies.com/lot/lot-6424076?ldp_breadcrumb=back&intObjectID=6424076&from=salessummary&lid=1,"SIMONE LEIGH (b. 1967)<br>,<i>109 (Face Jug Series)</i><br>,salt-fired porcelain<br>,17 1/2 x 6 x 8 1/2 in. (44.5 x 15.2 x 21.6 cm.)<br>,Executed in 2019.<br>,"
30201,https://www.christies.com/en/auction/a-century-of-art-the-gerald-fineberg-collection-part-ii-30201/,2023-05-17T04:00Z,2023-05-17T00:00Z,2 C,781200.0,300000.0,500000.0,USD,A Century of Art: The Gerald Fineberg Collection Part II,New York,BEAUFORD DELANEY,Composition Bleu,https://www.christies.com/lot/lot-6424077?ldp_breadcrumb=back&intObjectID=6424077&from=salessummary&lid=1,"BEAUFORD DELANEY (1901-1979)<br>,<i>Composition Bleu</i><br>,signed inscribed and dated &#8216;Beauford Delaney 68 Rue Paul Couturier Clamart Siene 60&#8217; (on the reverse); titled and dated again &#8216;Composition Bleu 1960&#8217; (on a panel affixed to the stretcher)<br>,oil on canvas<br>,51 x 38 1/4 in. (129.5 x 97.1 cm.)<br>,Painted in 1960.<br>,"
30201,https://www.christies.com/en/auction/a-century-of-art-the-gerald-fineberg-collection-part-ii-30201/,2023-05-17T04:00Z,2023-05-17T00:00Z,3 C,2470000.0,2000000.0,3000000.0,USD,A Century of Art: The Gerald Fineberg Collection Part II,New York,RUTH ASAWA,"Untitled (S.410, Hanging Seven-Lobed , Three - Part Continuous Form (Stripes))",https://www.christies.com/lot/lot-6424078?ldp_breadcrumb=back&intObjectID=6424078&from=salessummary&lid=1,"RUTH ASAWA (1926-2013)<br>,<i>Untitled </i>(S.410 Hanging Seven-Lobed<b></b> Three<b>-</b>Part Continuous Form (Stripes))<br>,galvanized steel and brass wire<br>,81 x 8 x 7 1/2 in. (205.7 x 20.3 x 17.8 cm.)<br>,Executed <i>circa</i> 1955.<br>,"
30201,https://www.christies.com/en/auction/a-century-of-art-the-gerald-fineberg-collection-part-ii-30201/,2023-05-17T04:00Z,2023-05-17T00:00Z,4 C,2591000.0,1200000.0,1800000.0,USD,A Century of Art: The Gerald Fineberg Collection Part II,New York,ALICE NEEL,The De Vegh Twins,https://www.christies.com/lot/lot-6424079?ldp_breadcrumb=back&intObjectID=6424079&from=salessummary&lid=1,"ALICE NEEL (1900-1984)<br>,<i>The De Vegh Twins</i><br>,signed and dated 'NEEL '75' (lower right)<br>,oil on canvas<br>,38 x 32 in. (96.5 x 81.3 cm.)<br>,Painted in 1975.<br>,"
30201,https://www.christies.com/en/auction/a-century-of-art-the-gerald-fineberg-collection-part-ii-30201/,2023-05-17T04:00Z,2023-05-17T00:00Z,5 C,3922000.0,2000000.0,3000000.0,USD,A Century of Art: The Gerald Fineberg Collection Part II,New York,ALMA THOMAS,A Fantastic Sunset,https://www.christies.com/lot/lot-6424080?ldp_breadcrumb=back&intObjectID=6424080&from=salessummary&lid=1,"ALMA THOMAS (1891-1978)<br>,<i>A Fantastic Sunset</i><br>,signed titled and dated '""a Fantastic Sunset"" Alma W. Thomas 70' (on the reverse)<br>,acrylic on canvas<br>,48 x 48 in. (121.9 x 121.9 cm.)<br>,Painted in 1970.<br>,"
30201,https://www.christies.com/en/auction/a-century-of-art-the-gerald-fineberg-collection-part-ii-30201/,2023-05-17T04:00Z,2023-05-17T00:00Z,6 C,478800.0,400000.0,600000.0,USD,A Century of Art: The Gerald Fineberg Collection Part II,New York,LEE BONTECOU,Untitled,https://www.christies.com/lot/lot-6424081?ldp_breadcrumb=back&intObjectID=6424081&from=salessummary&lid=1,"LEE BONTECOU (1931-2022)<br>,<i>Untitled</i><br>,signed and dated 'L. Bontecou 1963' (on the reverse)<br>,graphite and soot on muslin<br>,34 x 37 in. (86.3 x 94 cm.)<br>,Executed in 1963.<br>,"
30201,https://www.christies.com/en/auction/a-century-of-art-the-gerald-fineberg-collection-part-ii-30201/,2023-05-17T04:00Z,2023-05-17T00:00Z,7 C,6100000.0,5000000.0,7000000.0,USD,A Century of Art: The Gerald Fineberg Collection Part II,New York,BARKLEY L. HENDRICKS,Stanley,https://www.christies.com/lot/lot-6424082?ldp_breadcrumb=back&intObjectID=6424082&from=salessummary&lid=1,"BARKLEY L. HENDRICKS (1945-2017)<br>,<i>Stanley</i><br>,signed and dated 'B Hendricks '71' (upper right)<br>,oil on canvas<br>,72 x 49 5/8 in. (182.8 x 127 cm.)<br>,Painted in 1971.<br>,"
30201,https://www.christies.com/en/auction/a-century-of-art-the-gerald-fineberg-collection-part-ii-30201/,2023-05-17T04:00Z,2023-05-17T00:00Z,8 C,1865000.0,1000000.0,1500000.0,USD,A Century of Art: The Gerald Fineberg Collection Part II,New York,FRANCIS PICABIA,Sans titre,https://www.christies.com/lot/lot-6424083?ldp_breadcrumb=back&intObjectID=6424083&from=salessummary&lid=1,"FRANCIS PICABIA (1879-1953)<br>,<i>Sans titre</i><br>,signed 'Francis Picabia' (lower right)<br>,oil on board<br>,29 5/8 x 23 in. (75.3 x 58.5 cm.)<br>,Painted <i>circa</i> 1940-1942<br>,"
30201,https://www.christies.com/en/auction/a-century-of-art-the-gerald-fineberg-collection-part-ii-30201/,2023-05-17T04:00Z,2023-05-17T00:00Z,9 C,1623000.0,1000000.0,1500000.0,USD,A Century of Art: The Gerald Fineberg Collection Part II,New York,MAN RAY,Portrait de Kiki,https://www.christies.com/lot/lot-6424084?ldp_breadcrumb=back&intObjectID=6424084&from=salessummary&lid=1,"MAN RAY (1890-1976)<br>,<i>Portrait de Kiki</i><br>,signed 'Man Ray' (upper left); signed again dated titled and inscribed '""KIKI"" Man Ray 1923 Paris (9)' (on the stretcher)<br>,oil on canvas<br>,24 1/8 x 18 in. (61.3 x 45.6 cm.)<br>,Painted in 1923<br>,"
30201,https://www.christies.com/en/auction/a-century-of-art-the-gerald-fineberg-collection-part-ii-30201/,2023-05-17T04:00Z,2023-05-17T00:00Z,10 C,4285000.0,6000000.0,8000000.0,USD,A Century of Art: The Gerald Fineberg Collection Part II,New York,LEE KRASNER,Untitled,https://www.christies.com/lot/lot-6424085?ldp_breadcrumb=back&intObjectID=6424085&from=salessummary&lid=1,"LEE KRASNER (1908-1984)<br>,<i>Untitled</i><br>,signed 'Lee Krasner' (lower left); signed again 'Lee Krasner' (on the stretcher)<br>,oil on canvas<br>,58 x 65 in. (147.3 x 165.1 cm.)<br>,Painted <i>circa </i>1956-1959.<br>,"
30201,https://www.christies.com/en/auction/a-century-of-art-the-gerald-fineberg-collection-part-ii-30201/,2023-05-17T04:00Z,2023-05-17T00:00Z,11 C,2046500.0,2000000.0,3000000.0,USD,A Century of Art: The Gerald Fineberg Collection Part II,New York,HELEN FRANKENTHALER,Untitled,https://www.christies.com/lot/lot-6424086?ldp_breadcrumb=back&intObjectID=6424086&from=salessummary&lid=1,"HELEN FRANKENTHALER (1928-2011)<br>,<i>Untitled</i><br>,signed and dated 'Frankenthaler 1959-1960' (on the reverse)<br>,oil and charcoal on canvas<br>,90 x 70 in. (228.6 x 177.8 cm.)<br>,Painted in 1959-1960.<br>,"
